"","sample_id","filename"
"1","AGQ631","/srv/gsfs0/projects/snyder/sahadi/hPOP/081917_H1_Plasma_8ug_A10_AGQ631-H1-P73.mzML.gz"
"2","AGQ995","/srv/gsfs0/projects/snyder/sahadi/hPOP/081917_H1_Plasma_8ug_A11_AGQ995-H1-P81.mzML.gz"
"3","AGP897","/srv/gsfs0/projects/snyder/sahadi/hPOP/081917_H1_Plasma_8ug_A12_AGP897-H1-P89.mzML.gz"
"4","AGQ006","/srv/gsfs0/projects/snyder/sahadi/hPOP/081917_H1_Plasma_8ug_A1_AGQ006-H1-P1.mzML.gz"
"5","AGP982","/srv/gsfs0/projects/snyder/sahadi/hPOP/081917_H1_Plasma_8ug_A2_AGP982-H1-P9.mzML.gz"
"6","AGN543","/srv/gsfs0/projects/snyder/sahadi/hPOP/081917_H1_Plasma_8ug_A3_AGN543-H1-P17.mzML.gz"
"7","AGP891","/srv/gsfs0/projects/snyder/sahadi/hPOP/081917_H1_Plasma_8ug_A4_AGP891-H1-P25.mzML.gz"
"8","AGQ893","/srv/gsfs0/projects/snyder/sahadi/hPOP/081917_H1_Plasma_8ug_A5_AGQ893-H1-P33.mzML.gz"
"9","AGQ003","/srv/gsfs0/projects/snyder/sahadi/hPOP/081917_H1_Plasma_8ug_A6_AGQ003-H1-P41.mzML.gz"
"10","AGO065","/srv/gsfs0/projects/snyder/sahadi/hPOP/081917_H1_Plasma_8ug_A7_AGO065-H1-P49.mzML.gz"
"11","AGQ509","/srv/gsfs0/projects/snyder/sahadi/hPOP/081917_H1_Plasma_8ug_A9_AGQ509-H1-P65.mzML.gz"
"12","AGO007","/srv/gsfs0/projects/snyder/sahadi/hPOP/081917_H1_Plasma_8ug_B10_AGO007-H1-P74.mzML.gz"
"13","AGQ191","/srv/gsfs0/projects/snyder/sahadi/hPOP/081917_H1_Plasma_8ug_B11_AGQ191-H1-P82.mzML.gz"
