,peptidevalue_sum.Protein,hpopVar
339,P02768,10970456.3
769,UNKNOWN,1786360.843
315,P02647,1105006.81
9,cont|000137,364734.1663
752,Q9UKX2,282626.7962
512,P25789,272985.6443
702,Q92496,246049.4739
696,Q8N6C8,242199.2695
689,Q86UX7,237090.2244
684,Q7Z7G0,233812.8796
680,Q76LX8,231002.5427
668,Q53FA7,223108.4302
607,P83593,183804.6003
601,P78527,180375.9249
344,P02787,152552.9533
543,P35900,147008.6095
546,P36578,145604.5433
540,P35579,145552.095
762,Q9Y490,144845.9648
665,Q16610,144560.0509
533,P32119,141435.1058
654,Q15149,141248.3042
530,P31327,140391.641
304,P01857,139684.0449
746,Q9P2E9,139108.6169
641,Q14118,136898.9209
511,P25787,130425.7603
508,P24821,128382.4374
717,Q96M69,128367.2348
700,Q8WZ42-2,121439.2559
489,P22102,119416.9461
595,P62906,117988.6219
760,Q9Y2T3,115358.2297
669,Q562R1,111782.2638
240,P00738,99317.56455
532,P31948,94335.13045
679,Q6YN16,92107.97064
434,P0DJI9,91080.65352
736,Q9HDC9,90151.93196
513,P26038,87664.69391
417,P08294,86265.5222
410,P07996,83378.91419
640,Q13822-3,81823.11435
754,Q9UNN8,81190.73895
737,Q9NPH3,77424.04436
391,P06331,75724.5676
384,P05787,73588.09455
709,Q92841,71704.60639
484,P20742,71079.79172
753,Q9ULV4,70769.14885
747,Q9UBX5,69712.57015
374,P05062,69489.74663
526,P30043,69133.43925
303,P01834,69007.68599
365,P04264,65909.97683
506,P24046,63943.37929
671,Q5SGD2,63876.27487
667,Q16719,63498.44181
323,P02679,63259.57319
354,P04075,62263.38621
611,Q00610,62022.65081
549,P39060,60114.1872
643,Q14204,58611.84207
487,P20930,58261.16682
683,Q7Z494,58260.74727
622,Q04756,54870.98214
567,P49747,53480.13282
400,P07195,53086.96055
608,P83731,52799.3263
324,P02730,52422.34201
454,P13647,51442.67939
710,Q92954,50141.95416
738,Q9NPH3-5,49407.17554
495,P22897,48988.14451
326,P02743,48784.04696
727,Q9BQ52,47986.30712
336,P02763,47753.20951
616,Q01518,47429.50889
687,Q86SQ4,47196.02859
705,Q92736-2,45014.18718
599,P78417,44846.08421
661,Q15582,43435.73267
686,Q7Z7M0,42760.60717
305,P01859,42067.62459
456,P13727,41570.26129
497,P23141,41160.64856
287,P01742,40726.91673
657,Q15369,39237.30501
396,P06732,39162.60879
591,P62258,38795.24005
731,Q9BYE9,38136.11127
699,Q8WU39,37464.84778
580,P55285,37376.87374
576,P54136,36843.02875
432,P0C0L5,36693.08201
268,P01605,35813.21728
649,Q14624-2,35095.78053
528,P31146,34845.19827
309,P01876,34639.61704
692,Q8IV42,34186.43617
